Offence_Category,Year,Offender_Count,Offender_Rate
07 Unlawful entry with intent,2014–15,11742.0,57.1
08 Theft(i)(j),2014–15,39424.0,191.6
081 Motor vehicle theft,2014–15,4539.0,22.1
082 Theft (except motor vehicles),2014–15,30164.0,146.6
083 Receive or handle proceeds of crime,2014–15,4274.0,20.8
09 Fraud/deception(k),2014–15,12509.0,60.8
091 Obtain benefit by deception,2014–15,10114.0,49.2
092 Forgery and counterfeiting,2014–15,491.0,2.4
093 Deceptive business/government practices,2014–15,163.0,0.8
099 Other fraud and deception offences,2014–15,1638.0,8.0
10 Illicit drug offences(l),2014–15,81161.0,394.5
102 Deal or traffic in illicit drugs,2014–15,10298.0,50.1
103 Manufacture or cultivate illicit drugs,2014–15,6266.0,30.5
104 Possess and/or use illicit drugs,2014–15,53813.0,261.6
11 Weapons/explosives,2014–15,11866.0,57.7
12 Property damage and environmental pollution,2014–15,16399.0,79.7
13 Public order offences(m),2014–15,69982.0,340.2
131 Disorderly conduct,2014–15,27790.0,135.1
132 Regulated public order offences,2014–15,21303.0,103.5
133 Offensive conduct,2014–15,20891.0,101.5
15 Offences against justice(n)(o),2014–15,25780.0,125.3
153 Breach of violence and non-violence orders,2014–15,11184.0,54.4
156 Offences against justice procedures,2014–15,12274.0,59.7
16 Miscellaneous offences,2014–15,21956.0,106.7
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2014–15,,
01 Homicide and related offences(e),2015–16,702.0,3.4
011 Murder,2015–16,276.0,1.3
012 Attempted Murder,2015–16,182.0,0.9
013 Manslaughter and driving causing death,2015–16,247.0,1.2
02 Acts intended to cause injury(f) ,2015–16,76206.0,365.1
021 Assault,2015–16,70986.0,340.1
029 Other acts intended to cause injury,2015–16,5220.0,25.0
03 Sexual assault and related offences(g),2015–16,7898.0,37.8
031 Sexual assault,2015–16,5530.0,26.5
032 Non–assaultive sexual offences,2015–16,2370.0,11.4
04 Dangerous/negligent acts(h),2015–16,2247.0,10.8
05 Abduction/harassment,2015–16,4857.0,23.3
06 Robbery/extortion,2015–16,3194.0,15.3
07 Unlawful entry with intent,2015–16,12297.0,58.9
08 Theft(i)(j),2015–16,42060.0,201.5
081 Motor vehicle theft,2015–16,4776.0,22.9
082 Theft (except motor vehicles),2015–16,32337.0,154.9
083 Receive or handle proceeds of crime,2015–16,4493.0,21.5
09 Fraud/deception(k),2015–16,11224.0,53.8
091 Obtain benefit by deception,2015–16,8821.0,42.3
092 Forgery and counterfeiting,2015–16,500.0,2.4
093 Deceptive business/government practices,2015–16,150.0,0.7
099 Other fraud and deception offences,2015–16,1688.0,8.1
10 Illicit drug offences(l),2015–16,83204.0,398.7
102 Deal or traffic in illicit drugs,2015–16,11014.0,52.8
103 Manufacture or cultivate illicit drugs,2015–16,5765.0,27.6
104 Possess and/or use illicit drugs,2015–16,55286.0,264.9
11 Weapons/explosives,2015–16,12284.0,58.9
12 Property damage and environmental pollution,2015–16,16403.0,78.6
13 Public order offences(m),2015–16,64014.0,306.7
131 Disorderly conduct,2015–16,26911.0,128.9
132 Regulated public order offences,2015–16,18861.0,90.4
133 Offensive conduct,2015–16,18246.0,87.4
15 Offences against justice(n)(o),2015–16,27172.0,130.2
153 Breach of violence and non-violence orders,2015–16,13035.0,62.5
156 Offences against justice procedures,2015–16,11619.0,55.7
16 Miscellaneous offences,2015–16,19556.0,93.7
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2015–16,,
01 Homicide and related offences(e),2016–17,665.0,
011 Murder,2016–17,245.0,
012 Attempted Murder,2016–17,161.0,
013 Manslaughter and driving causing death,2016–17,253.0,
02 Acts intended to cause injury(f) ,2016–17,78421.0,
021 Assault,2016–17,72964.0,
029 Other acts intended to cause injury,2016–17,5460.0,
03 Sexual assault and related offences(g),2016–17,8123.0,
031 Sexual assault,2016–17,5844.0,
032 Non–assaultive sexual offences,2016–17,2276.0,
04 Dangerous/negligent acts(h),2016–17,2465.0,
05 Abduction/harassment,2016–17,4943.0,
06 Robbery/extortion,2016–17,3388.0,
07 Unlawful entry with intent,2016–17,12360.0,
08 Theft(i)(j),2016–17,42221.0,
081 Motor vehicle theft,2016–17,4863.0,
082 Theft (except motor vehicles),2016–17,32529.0,
